ESTU_TIPODOCUMENTO|ESTU_NACIONALIDAD|ESTU_GENERO|ESTU_FECHANACIMIENTO|PERIODO|ESTU_CONSECUTIVO|ESTU_ESTUDIANTE|ESTU_PAIS_RESIDE|ESTU_TIENEETNIA|ESTU_ETNIA|ESTU_COD_RESIDE_DEPTO|ESTU_COD_RESIDE_MCPIO|FAMI_ESTRATOVIVIENDA|FAMI_PERSONASHOGAR|FAMI_CUARTOSHOGAR|FAMI_EDUCACIONPADRE|FAMI_EDUCACIONMADRE|FAMI_TRABAJOLABORPADRE|FAMI_TRABAJOLABORMADRE|FAMI_TIENEINTERNET|FAMI_TIENESERVICIOTV|FAMI_TIENECOMPUTADOR|FAMI_TIENELAVADORA|FAMI_TIENEHORNOMICROOGAS|FAMI_TIENEAUTOMOVIL|FAMI_TIENEMOTOCICLETA|FAMI_TIENECONSOLAVIDEOJUEGOS|FAMI_NUMLIBROS|FAMI_COMELECHEDERIVADOS|FAMI_COMECARNEPESCADOHUEVO|FAMI_COMECEREALFRUTOSLEGUMBRE|FAMI_SITUACIONECONOMICA|ESTU_DEDICACIONLECTURADIARIA|ESTU_DEDICACIONINTERNET|ESTU_HORASSEMANATRABAJA|ESTU_TIPOREMUNERACION|COLE_CODIGO_ICFES|COLE_COD_DANE_ESTABLECIMIENTO|COLE_NOMBRE_ESTABLECIMIENTO|COLE_GENERO|COLE_NATURALEZA|COLE_CALENDARIO|COLE_BILINGUE|COLE_CARACTER|COLE_COD_DANE_SEDE|COLE_NOMBRE_SEDE|COLE_SEDE_PRINCIPAL|COLE_AREA_UBICACION|COLE_JORNADA|COLE_COD_MCPIO_UBICACION|COLE_COD_DEPTO_UBICACION|ESTU_PRIVADO_LIBERTAD|ESTU_COD_MCPIO_PRESENTACION|ESTU_COD_DEPTO_PRESENTACION|PUNT_LECTURA_CRITICA|PERCENTIL_LECTURA_CRITICA|DESEMP_LECTURA_CRITICA|PUNT_MATEMATICAS|PERCENTIL_MATEMATICAS|DESEMP_MATEMATICAS|PUNT_C_NATURALES|PERCENTIL_C_NATURALES|DESEMP_C_NATURALES|PUNT_SOCIALES_CIUDADANAS|PERCENTIL_SOCIALES_CIUDADANAS|DESEMP_SOCIALES_CIUDADANAS|PUNT_INGLES|PERCENTIL_INGLES|DESEMP_INGLES|PUNT_GLOBAL|PERCENTIL_GLOBAL|ESTU_INSE_INDIVIDUAL|ESTU_NSE_INDIVIDUAL|ESTU_NSE_ESTABLECIMIENTO|ESTU_ESTADOINVESTIGACION|ESTU_GENERACION-E
CC|COLOMBIA|F|04/12/2000|20191|SB11201910010316|ESTUDIANTE|COLOMBIA|No|-|11|11001|Estrato 6|7 a 8|Cinco|Educación profesional completa|Postgrado|Trabaja en el hogar, no trabaja o estudia|Es dueño de un negocio pequeño (tiene pocos empleados o no tiene, por ejemplo tienda, papelería, etc|Si|Si|Si|Si|Si|Si|No|Si|26 A 100 LIBROS|3 a 5 veces por semana|Todos o casi todos los días|3 a 5 veces por semana|Peor|30 minutos o menos|Entre 30 y 60 minutos|Menos de 10 horas|Si, en efectivo|019364|311848001011|COL ANGLO COLOMBIANO|MIXTO|NO OFICIAL|B|S|ACADÉMICO|311848001011|COL ANGLO COLOMBIANO|S|URBANO|COMPLETA|11001|11|N|11001|11|58|49|3|75|91|4|61|62|3|49|39|2|85|93|B+|313|63|66.639950674851|4|4|PUBLICAR|NO
TI|COLOMBIA|F|12/07/2001|20191|SB11201910014213|ESTUDIANTE|COLOMBIA|No|-|11|11001|Estrato 6|3 a 4|Tres|Postgrado|Postgrado|Trabaja como profesional (por ejemplo médico, abogado, ingeniero)|Trabaja como profesional (por ejemplo médico, abogado, ingeniero)|Si|Si|Si|Si|Si|Si|No|Si|MÁS DE 100 LIBROS|Todos o casi todos los días|Todos o casi todos los días|Todos o casi todos los días|Igual|Entre 30 y 60 minutos|Más de 3 horas|0|No|019364|311848001011|COL ANGLO COLOMBIANO|MIXTO|NO OFICIAL|B|S|ACADÉMICO|311848001011|COL ANGLO COLOMBIANO|S|URBANO|COMPLETA|11001|11|N|11001|11|76|95|4|75|91|4|70|87|3|69|83|3|83|90|B+|367|91|84.8363660916828|4|4|PUBLICAR|NO
TI|COLOMBIA|F|22/04/2001|20191|SB11201910014435|ESTUDIANTE|COLOMBIA|No|-|11|11001|Estrato 6|1 a 2|Tres|Educación profesional completa|Educación profesional completa|Es dueño de un negocio pequeño (tiene pocos empleados o no tiene, por ejemplo tienda, papelería, etc|Es dueño de un negocio grande, tiene un cargo de nivel directivo o gerencial|Si|Si|Si|Si|Si|Si|No|Si|MÁS DE 100 LIBROS|Todos o casi todos los días|Todos o casi todos los días|3 a 5 veces por semana|Igual|Entre 30 y 60 minutos|Más de 3 horas|0|No|019364|311848001011|COL ANGLO COLOMBIANO|MIXTO|NO OFICIAL|B|S|ACADÉMICO|311848001011|COL ANGLO COLOMBIANO|S|URBANO|COMPLETA|11001|11|N|11001|11|65|68|3|73|87|4|67|79|3|57|55|3|78|77|B1|332|73|72.2742536528654|4|4|PUBLICAR|NO
TI|COLOMBIA|M|28/03/2001|20191|SB11201910010785|ESTUDIANTE|COLOMBIA|No|-|11|11001|Estrato 5|3 a 4|Dos|No sabe|Educación profesional completa|Trabaja como profesional (por ejemplo médico, abogado, ingeniero)|Trabaja como profesional (por ejemplo médico, abogado, ingeniero)|Si|Si|Si|Si|Si|Si|No|Si|MÁS DE 100 LIBROS|3 a 5 veces por semana|Todos o casi todos los días|1 o 2 veces por semana|Igual|Entre 30 y 60 minutos|Más de 3 horas|0|No|019364|311848001011|COL ANGLO COLOMBIANO|MIXTO|NO OFICIAL|B|S|ACADÉMICO|311848001011|COL ANGLO COLOMBIANO|S|URBANO|COMPLETA|11001|11|N|11001|11|62|60|3|48|30|2|55|48|2|58|56|3|78|78|B1|287|51|72.2543090642987|4|4|PUBLICAR|NO
TI|COLOMBIA|M|12/02/2001|20191|SB11201910010775|ESTUDIANTE|COLOMBIA|No|-|11|11001|Estrato 5|3 a 4|Tres|Postgrado|Educación profesional completa|Es dueño de un negocio grande, tiene un cargo de nivel directivo o gerencial|No aplica|Si|Si|Si|Si|Si|Si|Si|Si|MÁS DE 100 LIBROS|3 a 5 veces por semana|Todos o casi todos los días|1 o 2 veces por semana|Mejor|30 minutos o menos|Entre 1 y 3 horas|0|No|019364|311848001011|COL ANGLO COLOMBIANO|MIXTO|NO OFICIAL|B|S|ACADÉMICO|311848001011|COL ANGLO COLOMBIANO|S|URBANO|COMPLETA|11001|11|N|11001|11|68|78|4|73|87|4|66|77|3|67|77|3|84|91|B+|348|82|71.892102211874|4|4|PUBLICAR|NO
CC|COLOMBIA|M|09/07/2000|20191|SB11201910026195|ESTUDIANTE|COLOMBIA|No|-|11|11001|Estrato 6|3 a 4|Tres|Educación profesional completa|Postgrado|Es dueño de un negocio grande, tiene un cargo de nivel directivo o gerencial|Es dueño de un negocio grande, tiene un cargo de nivel directivo o gerencial|Si|Si|Si|Si|Si|Si|No|Si|MÁS DE 100 LIBROS|3 a 5 veces por semana|Todos o casi todos los días|3 a 5 veces por semana|Igual|No leo por entretenimiento|Más de 3 horas|Menos de 10 horas|No|019364|311848001011|COL ANGLO COLOMBIANO|MIXTO|NO OFICIAL|B|S|ACADÉMICO|311848001011|COL ANGLO COLOMBIANO|S|URBANO|COMPLETA|11001|11|N|11001|11|57|45|3|70|80|3|67|77|3|63|67|3|84|92|B+|329|71|72.2510487184828|4|4|PUBLICAR|NO
CC|COLOMBIA|M|22/05/2000|20191|SB11201910026040|ESTUDIANTE|COLOMBIA|No|-|11|11001|Estrato 6|5 a 6|Tres|Educación profesional completa|Educación profesional completa|Trabaja por cuenta propia (por ejemplo plomero, electricista)|Trabaja por cuenta propia (por ejemplo plomero, electricista)|Si|Si|Si|Si|Si|Si|Si|Si|MÁS DE 100 LIBROS|Todos o casi todos los días|Todos o casi todos los días|Todos o casi todos los días|Igual|No leo por entretenimiento|Entre 1 y 3 horas|0|Si, en especie|019364|311848001011|COL ANGLO COLOMBIANO|MIXTO|NO OFICIAL|B|S|ACADÉMICO|311848001011|COL ANGLO COLOMBIANO|S|URBANO|COMPLETA|11001|11|N|11001|11|74|92|4|77|94|4|69|84|3|69|83|3|82|86|B+|365|90|69.5738296004828|4|4|PUBLICAR|NO
CC|COLOMBIA|F|25/10/2000|20191|SB11201910026216|ESTUDIANTE|COLOMBIA|No|-|11|11001|Estrato 6|3 a 4|Tres|No Aplica|Educación profesional completa|No aplica|Trabaja como profesional (por ejemplo médico, abogado, ingeniero)|Si|Si|Si|Si|Si|Si|No|No|MÁS DE 100 LIBROS|3 a 5 veces por semana|Todos o casi todos los días|3 a 5 veces por semana|Igual|Más de 2 horas|Más de 3 horas|0|No|019364|311848001011|COL ANGLO COLOMBIANO|MIXTO|NO OFICIAL|B|S|ACADÉMICO|311848001011|COL ANGLO COLOMBIANO|S|URBANO|COMPLETA|11001|11|N|11001|11|69|81|4|71|83|4|68|82|3|76|95|4|81|85|B+|359|87|68.0530712114272|4|4|PUBLICAR|NO
TI|COLOMBIA|M|21/04/2001|20191|SB11201910010329|ESTUDIANTE|COLOMBIA|No|-|11|11001|Estrato 6|5 a 6|Cuatro|Postgrado|Postgrado|Trabaja como profesional (por ejemplo médico, abogado, ingeniero)|Trabaja como profesional (por ejemplo médico, abogado, ingeniero)|Si|Si|Si|Si|Si|Si|No|Si|MÁS DE 100 LIBROS|Todos o casi todos los días|Todos o casi todos los días|3 a 5 veces por semana|Igual|30 minutos o menos|30 minutos o menos|0|No|019364|311848001011|COL ANGLO COLOMBIANO|MIXTO|NO OFICIAL|B|S|ACADÉMICO|311848001011|COL ANGLO COLOMBIANO|S|URBANO|COMPLETA|11001|11|N|11001|11|74|92|4|69|77|3|70|86|3|75|95|4|83|90|B+|364|90|82.8069781007653|4|4|PUBLICAR|NO
CC|COLOMBIA|M|24/06/2000|20191|SB11201910014650|ESTUDIANTE|COLOMBIA|No|-|11|11001|Estrato 6|3 a 4|Dos|Educación profesional completa|Postgrado|Es dueño de un negocio grande, tiene un cargo de nivel directivo o gerencial|Es dueño de un negocio grande, tiene un cargo de nivel directivo o gerencial|Si|Si|Si|Si|Si|Si|No|Si|MÁS DE 100 LIBROS|Todos o casi todos los días|Todos o casi todos los días|Todos o casi todos los días|Igual|30 minutos o menos|Más de 3 horas|0|No|019364|311848001011|COL ANGLO COLOMBIANO|MIXTO|NO OFICIAL|B|S|ACADÉMICO|311848001011|COL ANGLO COLOMBIANO|S|URBANO|COMPLETA|11001|11|N|11001|11|75|93|4|79|96|4|73|92|4|75|94|4|83|90|B+|380|96|76.8467487391535|4|4|PUBLICAR|NO
CC|COLOMBIA|F|08/11/2000|20191|SB11201910026098|ESTUDIANTE|COLOMBIA|No|-|11|11001|Estrato 5|3 a 4|Tres|Educación profesional completa|Educación profesional completa|Trabaja como profesional (por ejemplo médico, abogado, ingeniero)|No sabe|Si|Si|Si|Si|Si|Si|No|Si|26 A 100 LIBROS|Todos o casi todos los días|Todos o casi todos los días|3 a 5 veces por semana|Mejor|30 minutos o menos|Entre 1 y 3 horas|0|Si, en efectivo|019364|311848001011|COL ANGLO COLOMBIANO|MIXTO|NO OFICIAL|B|S|ACADÉMICO|311848001011|COL ANGLO COLOMBIANO|S|URBANO|COMPLETA|11001|11|N|11001|11|58|48|3|67|73|3|66|76|3|59|59|3|83|90|B+|320|67|72.4035996396321|4|4|PUBLICAR|NO
TI|COLOMBIA|M|18/01/2001|20191|SB11201910014091|ESTUDIANTE|COLOMBIA|No|-|11|11001|Estrato 4|3 a 4|Tres|Postgrado|Técnica o tecnológica completa|Es agricultor, pesquero o jornalero|Trabaja en el hogar, no trabaja o estudia|Si|Si|Si|Si|Si|Si|No|Si|MÁS DE 100 LIBROS|Todos o casi todos los días|Todos o casi todos los días|3 a 5 veces por semana|Peor|Entre 1 y 2 horas|Más de 3 horas|0|No|019364|311848001011|COL ANGLO COLOMBIANO|MIXTO|NO OFICIAL|B|S|ACADÉMICO|311848001011|COL ANGLO COLOMBIANO|S|URBANO|COMPLETA|11001|11|N|11001|11|74|92|4|80|97|4|75|95|4|67|77|3|84|92|B+|374|94|67.0104082486616|4|4|PUBLICAR|NO
TI|COLOMBIA|F|19/01/2001|20191|SB11201910014569|ESTUDIANTE|COLOMBIA|No|-|11|11001|Estrato 6|5 a 6|Cinco|Postgrado|Postgrado|Es dueño de un negocio grande, tiene un cargo de nivel directivo o gerencial|Trabaja por cuenta propia (por ejemplo plomero, electricista)|Si|Si|Si|Si|Si|Si|No|Si|MÁS DE 100 LIBROS|Todos o casi todos los días|Todos o casi todos los días|Todos o casi todos los días|Mejor|Entre 30 y 60 minutos|Entre 1 y 3 horas|0|No|019364|311848001011|COL ANGLO COLOMBIANO|MIXTO|NO OFICIAL|B|S|ACADÉMICO|311848001011|COL ANGLO COLOMBIANO|S|URBANO|COMPLETA|11001|11|N|11001|11|72|88|4|78|95|4|74|95|4|76|96|4|87|97|B+|380|95|77.6618814209532|4|4|PUBLICAR|NO
CC|COLOMBIA|M|22/11/2000|20191|SB11201910026053|ESTUDIANTE|COLOMBIA|No|-|11|11001|Estrato 6|3 a 4|Cuatro|Postgrado|Educación profesional completa|Trabaja en el hogar, no trabaja o estudia|Trabaja en el hogar, no trabaja o estudia|Si|Si|Si|Si|Si|Si|No|Si|MÁS DE 100 LIBROS|Todos o casi todos los días|Todos o casi todos los días|3 a 5 veces por semana|Peor|30 minutos o menos|Más de 3 horas|0|No|019364|311848001011|COL ANGLO COLOMBIANO|MIXTO|NO OFICIAL|B|S|ACADÉMICO|311848001011|COL ANGLO COLOMBIANO|S|URBANO|COMPLETA|11001|11|N|11001|11|77|97|4|100|100|4|73|92|4|70|84|3|85|94|B+|402|99|70.0058967698063|4|4|PUBLICAR|NO
TI|COLOMBIA|M|26/02/2001|20191|SB11201910014428|ESTUDIANTE|COLOMBIA|No|-|11|11001|Estrato 6|3 a 4|Tres|Educación profesional completa|Educación profesional completa|Trabaja como profesional (por ejemplo médico, abogado, ingeniero)|Trabaja como profesional (por ejemplo médico, abogado, ingeniero)|Si|Si|Si|Si|Si|Si|No|Si|MÁS DE 100 LIBROS|Todos o casi todos los días|Todos o casi todos los días|Todos o casi todos los días|Igual|Entre 30 y 60 minutos|Entre 30 y 60 minutos|0|No|019364|311848001011|COL ANGLO COLOMBIANO|MIXTO|NO OFICIAL|B|S|ACADÉMICO|311848001011|COL ANGLO COLOMBIANO|S|URBANO|COMPLETA|11001|11|N|11001|11|75|94|4|75|91|4|71|88|4|75|94|4|84|91|B+|374|94|77.5660409172602|4|4|PUBLICAR|NO
TI|COLOMBIA|F|26/02/2001|20191|SB11201910023759|ESTUDIANTE|COLOMBIA|Si|Ninguno|11|11001|Estrato 6|5 a 6|Cuatro|Postgrado|Educación profesional incompleta|Es dueño de un negocio grande, tiene un cargo de nivel directivo o gerencial|No sabe|Si|Si|Si|Si|Si|Si|No|Si|MÁS DE 100 LIBROS|Todos o casi todos los días|Todos o casi todos los días|3 a 5 veces por semana|Mejor|No leo por entretenimiento|Más de 3 horas|0|No|019364|311848001011|COL ANGLO COLOMBIANO|MIXTO|NO OFICIAL|B|S|ACADÉMICO|311848001011|COL ANGLO COLOMBIANO|S|URBANO|COMPLETA|11001|11|N|11001|11|61|56|3|67|72|3|61|63|3|55|51|2|86|96|B+|315|64|73.2028309523188|4|4|PUBLICAR|NO
TI|COLOMBIA|M|05/03/2001|20191|SB11201910013545|ESTUDIANTE|COLOMBIA|No|-|11|11001|Estrato 6|5 a 6|Cinco|Postgrado|Postgrado|Trabaja como profesional (por ejemplo médico, abogado, ingeniero)|Trabaja como profesional (por ejemplo médico, abogado, ingeniero)|Si|Si|Si|Si|Si|Si|No|Si|MÁS DE 100 LIBROS|Todos o casi todos los días|Todos o casi todos los días|Todos o casi todos los días|Mejor|Más de 2 horas|Entre 1 y 3 horas|0|No|019364|311848001011|COL ANGLO COLOMBIANO|MIXTO|NO OFICIAL|B|S|ACADÉMICO|311848001011|COL ANGLO COLOMBIANO|S|URBANO|COMPLETA|11001|11|N|11001|11|69|80|4|64|65|3|62|65|3|76|96|4|87|97|B+|346|80|84.8363660916828|4|4|PUBLICAR|NO
